symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2023-10-06 04:00:00+00:00,442.565,457.83,440.38,457.56,487025.0,8638.0,452.057195
NVDA,2023-10-09 04:00:00+00:00,448.4,455.87,443.73,452.73,422141.0,7508.0,448.270669
NVDA,2023-10-10 04:00:00+00:00,453.33,462.38,451.15,457.95,437762.0,13512.0,457.871259
NVDA,2023-10-11 04:00:00+00:00,461.93,468.31,460.63,468.04,329059.0,6587.0,464.509297
NVDA,2023-10-12 04:00:00+00:00,467.81,476.08,463.54,469.33,436130.0,11564.0,470.539327
NVDA,2023-10-13 04:00:00+00:00,469.575,470.56,452.805,454.65,440243.0,8453.0,459.755793
NVDA,2023-10-16 04:00:00+00:00,450.37,462.04,449.24,460.62,299870.0,6509.0,458.064245
NVDA,2023-10-17 04:00:00+00:00,439.99,447.405,425.08,439.49,1061719.0,24399.0,437.004799
NVDA,2023-10-18 04:00:00+00:00,426.0,432.16,418.35,421.89,829304.0,12785.0,424.050245
NVDA,2023-10-19 04:00:00+00:00,428.1,432.68,418.82,421.01,621297.0,9645.0,425.886787
NVDA,2023-10-20 04:00:00+00:00,418.58,424.58,410.88,413.64,528156.0,9676.0,416.332662
NVDA,2023-10-23 04:00:00+00:00,412.26,432.43,409.57,429.71,527754.0,8715.0,424.685901
NVDA,2023-10-24 04:00:00+00:00,430.64,436.95,427.24,436.51,304569.0,7403.0,431.616326
NVDA,2023-10-25 04:00:00+00:00,433.91,436.42,415.64,417.85,518621.0,13273.0,425.688096
NVDA,2023-10-26 04:00:00+00:00,418.97,422.33,398.88,402.745,792736.0,17128.0,407.154939
NVDA,2023-10-27 04:00:00+00:00,411.295,411.97,400.21,404.95,520038.0,10232.0,405.547697
NVDA,2023-10-30 04:00:00+00:00,410.99,417.59,404.86,411.51,383849.0,9241.0,411.148492
NVDA,2023-10-31 04:00:00+00:00,404.23,408.72,392.42,407.8,626644.0,13208.0,400.99497
NVDA,2023-11-01 04:00:00+00:00,409.67,423.78,409.67,423.07,542652.0,9595.0,417.278486
NVDA,2023-11-02 04:00:00+00:00,433.28,438.79,428.95,435.09,530655.0,9526.0,434.418971
NVDA,2023-11-03 04:00:00+00:00,440.2,453.04,437.27,449.96,509424.0,9516.0,445.721883
NVDA,2023-11-06 05:00:00+00:00,453.13,459.26,449.0,457.53,386977.0,7287.0,454.953725
NVDA,2023-11-07 05:00:00+00:00,457.33,462.14,451.66,459.67,298250.0,5636.0,458.724539
NVDA,2023-11-08 05:00:00+00:00,460.87,468.59,460.0,465.63,258754.0,5079.0,464.559048
NVDA,2023-11-09 05:00:00+00:00,474.64,482.28,467.6,469.555,553743.0,10351.0,475.479606
NVDA,2023-11-10 05:00:00+00:00,474.83,484.72,473.18,483.4,396486.0,7995.0,480.096448
NVDA,2023-11-13 05:00:00+00:00,483.76,491.07,481.09,486.15,368286.0,7276.0,487.617098
NVDA,2023-11-14 05:00:00+00:00,496.6,498.27,490.46,496.7,598798.0,9215.0,495.037378
NVDA,2023-11-15 05:00:00+00:00,499.37,499.37,482.02,489.03,496438.0,8916.0,489.504167
NVDA,2023-11-16 05:00:00+00:00,486.76,495.135,483.37,494.89,496329.0,7569.0,488.404858
NVDA,2023-11-17 05:00:00+00:00,494.89,496.77,490.18,492.91,321962.0,5717.0,493.514594
