DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-08,84.86,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-09,85.74,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-10,87.63,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-11,92.87,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2007-12,92.41,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-01,94.30,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-02,96.89,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-03,101.45,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-04,102.58,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-05,107.17,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-06,111.09,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-07,112.15,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-08,107.42,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-09,108.55,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-10,104.50,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-11,98.90,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2008-12,95.25,,
ESTAT:PRC_HICP_MIDX(1.0),03/06/25 11:00:00,Monthly,"Index, 2015=100",Energy,Belgium,2009-01,94.13,,
